status,name,pos,team,pts_per_week,start_rate,form,season_pts,minutes,starts,def_actions_p90,gain_vs_my_starter,next5_fdr,news
FREE,Ajayi,DEF,HUL,4.86,1.00,10.0,20,153,2,8.2,1.61,3-4-3-3-3,
MINE,Tarkowski,DEF,EVE,4.50,1.00,9.0,18,180,2,9.5,,4-3-2-2-4,
FREE,Mendy,DEF,HUL,4.50,1.00,8.0,16,121,2,16.4,1.25,3-4-3-3-3,
MINE,De Cuyper,DEF,BHA,4.43,1.00,8.5,17,167,2,3.2,,2-2-4-3-3,
FREE,Egan,DEF,HUL,4.38,1.00,8.5,17,180,2,17.0,1.12,3-4-3-3-3,
MINE,Xhaka,MID,SUN,4.28,1.00,7.5,15,180,2,10.0,,3-4-5-2-3,
FREE,Ndoye,MID,NFO,4.14,1.00,6.0,12,126,2,8.6,2.53,3-4-2-3-4,
MINE,Trafford,GKP,LEE,3.90,1.00,6.0,12,180,2,0.0,,3-2-3-5-4,
MINE,Cunha,MID,MUN,3.87,1.00,5.5,11,158,2,2.8,,3-4-3-3-3,
FREE,Castagne,DEF,FUL,3.85,1.00,6.0,12,157,2,4.6,0.60,3-4-4-2-2,
FREE,Gomez,MID,BHA,3.80,1.00,5.5,11,175,2,5.7,2.19,2-2-4-3-3,
MINE,Wissa,FWD,NEW,3.79,1.00,6.0,12,171,2,7.4,,3-3-2-2-3,
FREE,Giles,DEF,HUL,3.77,1.00,6.0,12,174,2,4.1,0.52,3-4-3-3-3,
FREE,Dedić,DEF,NEW,3.75,1.00,6.0,12,180,2,8.5,0.50,3-3-2-2-3,
FREE,Enciso,MID,IPS,3.74,1.00,5.0,10,160,2,9.0,2.13,4-3-3-2-5,
FREE,Thomas,DEF,COV,3.68,1.00,5.5,11,167,2,10.2,0.43,5-2-3-2-3,
FREE,Armstrong,MID,EVE,3.67,1.00,5.0,10,176,2,12.8,2.06,4-3-2-2-4,
FREE,N.Angulo,MID,SUN,3.66,1.00,4.0,8,122,2,8.9,2.05,3-4-5-2-3,
FREE,Janelt,MID,BRE,3.65,1.00,5.0,10,180,2,11.5,2.04,2-3-4-4-4,
FREE,Ajer,DEF,BRE,3.62,1.00,5.5,11,180,2,13.5,0.38,2-3-4-4-4,
FREE,Lavia,MID,CHE,3.62,1.00,4.0,8,131,2,11.0,2.01,5-2-3-3-3,
FREE,Belloumi,MID,HUL,3.56,1.00,4.5,9,172,2,10.5,1.96,3-4-3-3-3,
FREE,King,MID,FUL,3.53,1.00,4.5,9,180,2,6.0,1.92,3-4-4-2-2,
FREE,Mykolenko,DEF,EVE,3.50,1.00,5.0,10,180,2,8.0,0.25,4-3-2-2-4,
FREE,Muharemović,DEF,LEE,3.50,1.00,5.0,10,180,2,13.0,0.25,3-2-3-5-4,
FREE,Slater,MID,HUL,3.40,1.00,4.0,8,180,2,6.5,1.79,3-4-3-3-3,
MINE,Collins,DEF,BRE,3.38,1.00,4.5,9,180,2,8.0,,2-3-4-4-4,
FREE,Bogle,DEF,LEE,3.35,1.00,4.0,8,157,2,5.7,0.10,3-2-3-5-4,
FREE,Núñez,MID,IPS,3.33,1.00,3.0,6,140,2,13.5,1.72,4-3-3-2-5,
FREE,Cook,MID,BOU,3.31,1.00,3.0,6,143,2,5.7,1.71,3-3-4-4-2,
FREE,Fatawu,MID,IPS,3.30,1.00,3.0,6,147,2,6.7,1.69,4-3-3-2-5,
FREE,Ampadu,MID,LEE,3.28,1.00,3.5,7,180,2,11.5,1.67,3-2-3-5-4,
MINE,Semenyo,MID,MCI,3.28,1.00,3.5,7,180,2,4.0,,2-4-2-4-2,
MINE,Roefs,GKP,SUN,3.28,1.00,3.5,7,180,2,0.0,,3-4-5-2-3,
MINE,Davis,DEF,IPS,3.25,1.00,4.0,8,180,2,5.5,,4-3-3-2-5,
FREE,Botman,DEF,NEW,3.25,1.00,4.0,8,180,2,7.5,0.00,3-3-2-2-3,
FREE,Ballard,DEF,SUN,3.25,1.00,4.0,8,180,2,9.5,0.00,3-4-5-2-3,
FREE,Lewis-Skelly,MID,ARS,3.24,1.00,3.0,6,160,2,6.8,1.63,4-3-3-2-3,
FREE,Bobb,MID,FUL,3.23,1.00,2.5,5,133,2,7.4,1.63,3-4-4-2-2,
FREE,Lukić,MID,IPS,3.23,1.00,3.0,6,162,2,9.4,1.62,4-3-3-2-5,
FREE,Wieffer,DEF,BHA,3.23,1.00,3.5,7,156,2,8.7,-0.02,2-2-4-3-3,
FREE,L.Miley,MID,NEW,3.22,1.00,3.0,6,165,2,12.0,1.61,3-3-2-2-3,
FREE,George,MID,EVE,3.19,1.00,2.5,5,144,2,5.6,1.58,4-3-2-2-4,
FREE,Aaronson,MID,LEE,3.14,1.00,2.0,4,126,2,7.1,1.53,3-2-3-5-4,
FREE,Reinildo,DEF,SUN,3.12,1.00,3.5,7,180,2,7.5,-0.12,3-4-5-2-3,
FREE,Meunier,DEF,SUN,3.12,1.00,3.5,7,180,2,6.0,-0.12,3-4-5-2-3,
FREE,Yirenkyi,MID,COV,3.12,1.00,2.0,4,131,2,6.9,1.51,5-2-3-2-3,
FREE,McAtee,MID,NFO,3.10,1.00,2.5,5,163,2,8.8,1.50,3-4-2-3-4,
FREE,Röhl,MID,EVE,3.05,1.00,2.5,5,175,2,9.3,1.44,4-3-2-2-4,
FREE,Barkley,MID,AVL,3.03,1.00,2.0,4,150,2,6.6,1.43,2-3-3-3-3,
FREE,Maeda,MID,IPS,3.03,1.00,2.0,4,151,2,8.3,1.42,4-3-3-2-5,
FREE,Kamada,MID,CRY,3.03,1.00,2.5,5,180,2,11.5,1.42,3-2-3-3-3,
FREE,Sadiki,MID,SUN,3.03,1.00,2.5,5,180,2,6.5,1.42,3-4-5-2-3,
FREE,Gray,MID,TOT,3.02,1.00,2.0,4,152,2,6.5,1.42,3-3-3-4-2,
FREE,Berge,MID,FUL,3.02,1.00,2.0,4,154,2,3.5,1.41,3-4-4-2-2,
FREE,Stroud,MID,HUL,3.01,1.00,1.5,3,128,2,9.1,1.40,3-4-3-3-3,
FREE,Tel,MID,TOT,3.00,1.00,2.0,4,157,2,6.3,1.40,3-3-3-4-2,
MINE,McBurnie,FWD,HUL,3.00,1.00,3.0,6,180,2,4.5,,3-4-3-3-3,
FREE,Vuskovic,DEF,BHA,3.00,1.00,3.0,6,180,2,6.0,-0.25,2-2-4-3-3,
FREE,Silva,DEF,BOU,3.00,1.00,3.0,6,180,2,11.5,-0.25,3-3-4-4-2,
FREE,George Hemmings,MID,AVL,2.99,1.00,2.0,4,160,2,6.2,1.38,2-3-3-3-3,
FREE,Hato,DEF,CHE,2.98,1.00,2.5,5,154,2,5.3,-0.27,5-2-3-3-3,
FREE,Tonali,MID,TOT,2.97,1.00,2.0,4,164,2,4.4,1.37,3-3-3-4-2,
FREE,Robertson,DEF,TOT,2.97,1.00,2.5,5,157,2,8.0,-0.28,3-3-3-4-2,
